,Tweets,len,date,likes,retweets
0,Ganptati ke saamne b modeling nahi band ho rahi teri.. anyways nice photo .. lots of love to both of u. K9 🙊 https://t.co/akRkWZAmvf,132,9/3/2019 11:06,8749,276
1,Thank u for making the evening special with ur presence divya ji 🤗 it was a beautiful meeting 😄always a fan 🙏 https://t.co/b4leFSiwQS,133,9/2/2019 13:33,10461,303
2,It’s always fun shooting with u Anna .. love u from the bottom of my heart ❤️ all the best for #Pailwan 🙏 https://t.co/2dqRwwHOTO,129,9/1/2019 15:52,6883,287
3,The #chichore gang on #TheKapilSharmaShow Sony tv laga lo jaldi 🤗 ⁦@itsSSR⁩ ⁦@ShraddhaKapoor⁩ ⁦@varunsharma90⁩ ⁦… https://t.co/jF5Uy1TOpl,137,9/1/2019 15:45,10204,314
4,thank u sir 🤗 it was nice meeting with u n ur family.. pls do come home whenever u r in mumbai next time 🙏 regards https://t.co/nwqWlqYkNT,138,8/31/2019 14:40,7034,556
5,Nobody knows where is the camera except Anna ⁦🤗⁩ anna har dum chaukkana 😂 team #pailwaan ⁦@KicchaSudeep⁩ n ⁦… https://t.co/r1TKe7x1je,133,8/31/2019 8:35,20961,1154
6,#chhichhore @itsSSR @ShraddhaKapoor @varunsharma90 @NaveenPolishety @tusharpandeyx #saharshkumar n Dir… https://t.co/1I25GzVUBx,127,8/30/2019 10:36,9632,395
7,RT @MikaSingh: Sat sri Akal Bhaaji you guys are doing such an amazing job .. I have seen the world but a sincere salute to @Khalsa_Aid. The…,140,8/29/2019 16:21,0,166
8,Wish u a very happy bday @TheRichaSharma didi 🤗 may u keep entertaining the world with ur magical voice. love u so… https://t.co/JRajd4wbrw,139,8/29/2019 10:58,16658,422
9,Love u paji ❤️ https://t.co/b4SAOiKRzK,38,8/28/2019 10:15,21936,866
